timestamp,id,key,project_id,project_key,parent_id,parent_key,type_id,type_name,status_id,status_name
2022-02-25T14:30:29.252-0500,15710,GOD-162,10081,GOD,15418,GOD-26,10256,Story,10265,To Do
2022-02-25T11:33:39.580-0500,15710,GOD-162,10081,GOD,15418,GOD-26,10256,Story,10266,In Progress
2022-02-22T15:31:49.361-0500,15709,GOD-161,10081,GOD,15705,GOD-157,10260,Sous-tâche,10265,To Do
2022-02-22T15:31:23.268-0500,15708,GOD-160,10081,GOD,15705,GOD-157,10260,Sous-tâche,10265,To Do
2022-02-22T15:30:56.985-0500,15707,GOD-159,10081,GOD,15705,GOD-157,10260,Sous-tâche,10265,To Do
2022-02-22T15:30:45.792-0500,15706,GOD-158,10081,GOD,15705,GOD-157,10260,Sous-tâche,10265,To Do
2022-02-22T15:30:27.598-0500,15705,GOD-157,10081,GOD,15418,GOD-26,10256,Story,10265,To Do
2022-03-15T11:15:26.651-0400,15705,GOD-157,10081,GOD,15418,GOD-26,10256,Story,10266,In Progress
2022-02-25T14:31:02.983-0500,15705,GOD-157,10081,GOD,15418,GOD-26,10256,Story,10265,To Do
2022-02-25T14:30:32.029-0500,15705,GOD-157,10081,GOD,15418,GOD-26,10256,Story,10266,In Progress
2022-02-22T15:21:05.491-0500,15699,GOD-151,10081,GOD,15517,GOD-65,10260,Sous-tâche,10265,To Do
2022-03-15T09:44:04.406-0400,15699,GOD-151,10081,GOD,15517,GOD-65,10260,Sous-tâche,10267,Done
2022-02-22T15:19:31.996-0500,15698,GOD-150,10081,GOD,15517,GOD-65,10260,Sous-tâche,10265,To Do
2022-02-22T15:18:15.731-0500,15697,GOD-149,10081,GOD,15517,GOD-65,10260,Sous-tâche,10265,To Do
2022-02-22T15:17:27.818-0500,15695,GOD-147,10081,GOD,15517,GOD-65,10260,Sous-tâche,10265,To Do
2022-03-15T09:39:23.844-0400,15695,GOD-147,10081,GOD,15517,GOD-65,10260,Sous-tâche,10267,Done
2022-02-22T15:12:33.603-0500,15694,GOD-146,10081,GOD,15517,GOD-65,10260,Sous-tâche,10265,To Do
2022-03-15T09:38:59.679-0400,15694,GOD-146,10081,GOD,15517,GOD-65,10260,Sous-tâche,10267,Done
2022-02-08T15:40:34.409-0500,15676,GOD-145,10081,GOD,15529,GOD-77,10256,Story,10265,To Do
2022-02-10T17:49:33.839-0500,15676,GOD-145,10081,GOD,15529,GOD-77,10256,Story,10267,Done
2022-02-10T17:40:45.377-0500,15676,GOD-145,10081,GOD,15529,GOD-77,10256,Story,10266,In Progress
2022-02-08T15:39:27.603-0500,15675,GOD-144,10081,GOD,15529,GOD-77,10256,Story,10265,To Do
2022-02-10T17:40:46.742-0500,15675,GOD-144,10081,GOD,15529,GOD-77,10256,Story,10267,Done
2022-02-10T15:59:54.217-0500,15675,GOD-144,10081,GOD,15529,GOD-77,10256,Story,10266,In Progress
2022-02-08T15:18:51.833-0500,15674,GOD-143,10081,GOD,15524,GOD-72,10260,Sous-tâche,10265,To Do
2022-02-08T15:14:42.542-0500,15673,GOD-142,10081,GOD,15416,GOD-24,10256,Story,10265,To Do
2022-02-23T12:32:29.169-0500,15673,GOD-142,10081,GOD,15416,GOD-24,10256,Story,10267,Done
2022-02-18T08:51:56.408-0500,15673,GOD-142,10081,GOD,15416,GOD-24,10256,Story,10266,In Progress
2022-02-08T15:10:54.152-0500,15672,GOD-141,10081,GOD,15524,GOD-72,10260,Sous-tâche,10265,To Do
2022-02-08T15:11:04.971-0500,15672,GOD-141,10081,GOD,15524,GOD-72,10260,Sous-tâche,10266,In Progress
2022-02-03T10:41:27.484-0500,15665,GOD-140,10081,GOD,null,null,10256,Story,10265,To Do
2022-02-09T12:51:18.752-0500,15665,GOD-140,10081,GOD,null,null,10256,Story,10267,Done
2022-02-03T10:41:36.778-0500,15665,GOD-140,10081,GOD,null,null,10256,Story,10266,In Progress
2022-02-03T10:19:46.861-0500,15664,GOD-139,10081,GOD,15652,GOD-135,10260,Sous-tâche,10265,To Do
2022-02-08T15:07:36.793-0500,15664,GOD-139,10081,GOD,15652,GOD-135,10260,Sous-tâche,10267,Done
2022-02-03T14:32:11.874-0500,15664,GOD-139,10081,GOD,15652,GOD-135,10260,Sous-tâche,10266,In Progress
2022-02-03T10:18:54.392-0500,15663,GOD-138,10081,GOD,15652,GOD-135,10260,Sous-tâche,10265,To Do
2022-02-08T15:07:33.823-0500,15663,GOD-138,10081,GOD,15652,GOD-135,10260,Sous-tâche,10267,Done
2022-02-03T14:32:10.857-0500,15663,GOD-138,10081,GOD,15652,GOD-135,10260,Sous-tâche,10266,In Progress
2022-02-03T10:18:36.986-0500,15662,GOD-137,10081,GOD,15652,GOD-135,10260,Sous-tâche,10265,To Do
2022-02-08T15:07:30.536-0500,15662,GOD-137,10081,GOD,15652,GOD-135,10260,Sous-tâche,10267,Done
2022-02-03T14:32:09.618-0500,15662,GOD-137,10081,GOD,15652,GOD-135,10260,Sous-tâche,10266,In Progress
2022-01-27T15:05:12.489-0500,15656,GOD-136,10081,GOD,15524,GOD-72,10260,Sous-tâche,10265,To Do
2022-02-03T10:04:44.969-0500,15656,GOD-136,10081,GOD,15524,GOD-72,10260,Sous-tâche,10267,Done
2022-01-27T15:09:47.514-0500,15656,GOD-136,10081,GOD,15524,GOD-72,10260,Sous-tâche,10266,In Progress
2022-01-25T10:46:00.574-0500,15652,GOD-135,10081,GOD,15416,GOD-24,10256,Story,10265,To Do
2022-02-08T15:07:42.395-0500,15652,GOD-135,10081,GOD,15416,GOD-24,10256,Story,10267,Done
2022-02-04T10:05:43.110-0500,15652,GOD-135,10081,GOD,15416,GOD-24,10256,Story,10266,In Progress
2022-01-24T10:55:49.284-0500,15650,GOD-134,10081,GOD,15524,GOD-72,10260,Sous-tâche,10265,To Do
2022-01-27T15:09:42.260-0500,15650,GOD-134,10081,GOD,15524,GOD-72,10260,Sous-tâche,10267,Done
2022-01-27T09:43:00.702-0500,15650,GOD-134,10081,GOD,15524,GOD-72,10260,Sous-tâche,10266,In Progress
2022-01-24T10:55:14.384-0500,15649,GOD-133,10081,GOD,15524,GOD-72,10260,Sous-tâche,10265,To Do
2022-01-26T15:19:44.988-0500,15649,GOD-133,10081,GOD,15524,GOD-72,10260,Sous-tâche,10267,Done
2022-01-24T10:55:54.487-0500,15649,GOD-133,10081,GOD,15524,GOD-72,10260,Sous-tâche,10266,In Progress
2022-01-20T11:30:22.506-0500,15637,GOD-132,10081,GOD,15523,GOD-71,10260,Sous-tâche,10265,To Do
2022-01-27T10:06:07.795-0500,15637,GOD-132,10081,GOD,15523,GOD-71,10260,Sous-tâche,10267,Done
2022-01-24T15:31:07.411-0500,15637,GOD-132,10081,GOD,15523,GOD-71,10260,Sous-tâche,10266,In Progress
2022-01-20T11:29:50.996-0500,15636,GOD-131,10081,GOD,15523,GOD-71,10260,Sous-tâche,10265,To Do
2022-02-09T15:08:12.391-0500,15636,GOD-131,10081,GOD,15523,GOD-71,10260,Sous-tâche,10267,Done
2022-01-24T15:30:51.115-0500,15636,GOD-131,10081,GOD,15523,GOD-71,10260,Sous-tâche,10266,In Progress
2022-01-20T11:29:40.885-0500,15635,GOD-130,10081,GOD,15523,GOD-71,10260,Sous-tâche,10265,To Do
2022-01-31T10:13:55.516-0500,15635,GOD-130,10081,GOD,15523,GOD-71,10260,Sous-tâche,10267,Done
2022-01-24T15:31:03.247-0500,15635,GOD-130,10081,GOD,15523,GOD-71,10260,Sous-tâche,10266,In Progress
2022-01-20T11:29:30.402-0500,15634,GOD-129,10081,GOD,15523,GOD-71,10260,Sous-tâche,10265,To Do
2022-01-27T10:06:06.463-0500,15634,GOD-129,10081,GOD,15523,GOD-71,10260,Sous-tâche,10267,Done
2022-01-24T15:30:49.413-0500,15634,GOD-129,10081,GOD,15523,GOD-71,10260,Sous-tâche,10266,In Progress
2022-01-24T15:30:46.430-0500,15634,GOD-129,10081,GOD,15523,GOD-71,10260,Sous-tâche,10267,Done
2022-01-18T10:29:27.992-0500,15627,GOD-128,10081,GOD,15418,GOD-26,10256,Story,10265,To Do
2022-01-13T15:07:11.075-0500,15622,GOD-127,10081,GOD,null,null,10256,Story,10265,To Do
2022-01-20T17:23:31.200-0500,15622,GOD-127,10081,GOD,null,null,10256,Story,10267,Done
2022-01-20T16:45:17.122-0500,15622,GOD-127,10081,GOD,null,null,10256,Story,10266,In Progress
2022-01-20T15:53:01.274-0500,15622,GOD-127,10081,GOD,null,null,10256,Story,10267,Done
2022-01-19T09:13:23.325-0500,15622,GOD-127,10081,GOD,null,null,10256,Story,10266,In Progress
2022-01-14T09:20:07.167-0500,15622,GOD-127,10081,GOD,null,null,10256,Story,10265,To Do
2022-01-13T15:10:12.569-0500,15622,GOD-127,10081,GOD,null,null,10256,Story,10266,In Progress
2022-01-13T15:06:10.994-0500,15621,GOD-126,10081,GOD,null,null,10256,Story,10265,To Do
